"track_name","artist_name","streams","energy","danceability","bpm"
"Seven (feat. Latto) (Explicit Ver.)","Latto, Jung Kook",141381703,83,80,125
"LALA","Myke Towers",133716286,74,71,92
"vampire","Olivia Rodrigo",140003974,53,51,138
"Cruel Summer","Taylor Swift",800840817,72,55,170
"WHERE SHE GOES","Bad Bunny",303236322,80,65,144
"Sprinter","Dave, Central Cee",183706234,58,92,141
"Ella Baila Sola","Eslabon Armado, Peso Pluma",725980112,76,67,148
"Columbia","Quevedo",58149378,71,67,100
"fukumean","Gunna",95217315,62,85,130
"La Bebe - Remix","Peso Pluma, Yng Lvcas",553634067,48,81,170
"un x100to","Bad Bunny, Grupo Frontera",505671438,72,57,83
"Super Shy","NewJeans",58255150,82,78,150
"Flowers","Miley Cyrus",1316855716,68,71,118
"Daylight","David Kushner",387570742,43,51,130
"As It Was","Harry Styles",2513188493,73,52,174
"Kill Bill","SZA",1163093654,73,64,89
"Cupid - Twin Ver.","Fifty Fifty",496795686,59,78,120
"What Was I Made For? [From The Motion Picture ""Barbie""]","Billie Eilish",30546883,9,44,78
"Classy 101","Feid, Young Miko",335222234,66,86,100
"Like Crazy","Jimin",363369738,73,63,120
"LADY GAGA","Gabito Ballesteros, Junior H, Peso Pluma",86444842,74,65,140
"I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ","Taylor Swift",52135248,76,69,123
"I Wanna Be Yours","Arctic Monkeys",1297026226,42,48,135
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",200647221,67,85,133
"Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series)","The Weeknd, Madonna, Playboi Carti",115364561,68,85,99
"SABOR FRESA","Fuerza Regida",78300654,86,79,130
"Calm Down (with Selena Gomez)","Rï¿½ï¿½ma, Selena G",899183384,80,80,107
"MOJABI GHOST","Tainy, Bad Bunny",61245289,71,81,122
"Last Night","Morgan Wallen",429829812,68,52,204
"Dance The Night (From Barbie The Album)","Dua Lipa",127408954,85,67,110
"Rush","Troye Sivan",22581161,84,74,126
"TULUM","Peso Pluma, Grupo Frontera",52294266,87,56,168
"Creepin'","The Weeknd, 21 Savage, Metro Boomin",843957510,61,71,98
"Anti-Hero","Taylor Swift",999748277,63,64,97
"TQG","Karol G, Shakira",618990393,63,72,180
"Los del Espacio","Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",123122413,68,81,120
"Frï¿½ï¿½gil (feat. Grupo Front","Yahritza Y Su Esencia, Grupo Frontera",188933502,73,61,150
"Blank Space","Taylor Swift",1355959075,68,75,96
"Style","Taylor Swift",786181836,79,60,95
"TQM","Fuerza Regida",176553476,85,79,125
"El Azul","Junior H, Peso Pluma",354495408,65,56,144
"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone, Swae Lee",2808096550,50,76,90
"I'm Good (Blue)","Bebe Rexha, David Guetta",1109433169,97,56,128
"See You Again","Tyler, The Creator, Kali Uchis",1047101291,56,56,79
"Barbie World (with Aqua) [From Barbie The Album]","Nicki Minaj, Aqua, Ice Spice",65156199,58,77,144
"Angels Like You","Miley Cyrus",570515054,64,67,122
"I Ain't Worried","OneRepublic",1085685420,81,71,140
"Die For You","The Weeknd",1647990401,52,59,134
"Starboy","The Weeknd, Daft Punk",2565529693,59,68,186
"Die For You - Remix","Ariana Grande, The Weeknd",518745108,53,53,67
"El Cielo","Feid, Myke Towers, Sky Rompiendo",107753850,64,72,106
"Baby Don't Hurt Me","David Guetta, Anne-Marie, Coi Leray",177740666,91,60,128
"AMARGURA","Karol G",153372011,70,92,107
"(It Goes Like) Nanana - Edit","Peggy Gou",57876440,88,67,130
"Another Love","Tom Odell",1813673666,54,45,123
"Blinding Lights","The Weeknd",3703895074,80,50,171
"Moonlight","Kali Uchis",256483385,72,64,137
"La Bachata","Manuel Turizo",1214083358,68,84,125
"S91","Karol G",16011326,72,86,128
"cardigan","Taylor Swift",812019557,58,61,130
"Tï¿½ï¿","dennis, MC Kevin o Chris",111947664,96,86,130
"Boy's a liar Pt. 2","PinkPantheress, Ice Spice",156338624,81,70,133
"Left and Right (Feat. Jung Kook of BTS)","Charlie Puth, BTS, Jung Kook",720434240,59,88,101
"BESO","Rauw Alejandro, ROSALï¿½",357925728,64,77,95
"Hey Mor","Ozuna, Feid",674072710,59,90,98
"Yellow","Chris Molitor",1755214421,66,43,173
"Karma","Taylor Swift",404562836,62,64,90
"People","Libianca",373199958,42,59,198
"Overdrive","Post Malone",14780425,73,56,140
"Enchanted (Taylor's Version)","Taylor Swift",39578178,53,51,82
"BABY HELLO","Rauw Alejandro, Bizarrap",54266102,89,77,130
"Heat Waves","Glass Animals",2557975762,53,76,81
"golden hour","JVKE",751134527,59,51,94
"Sweater Weather","The Neighbourhood",2282771485,81,61,124
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",1356565093,78,62,128
"Viva La Vida","Coldplay",1592909789,62,49,138
"Here With Me","d4vd",635412045,48,58,132
"Unholy (feat. Kim Petras)","Sam Smith, Kim Petras",1230675890,47,71,131
"Yandel 150","Yandel, Feid",585695368,73,78,168
"CORAZï¿½ï¿½N VA","Maria Becerra",43857627,79,68,98
"Riptide","Vance Joy",2009094673,73,48,102
"Until I Found You (with Em Beihold) - Em Beihold Version","Em Beihold, Stephen Sanchez",600976848,57,34,101
"Novidade na ï¿½ï¿","Mc Livinho, DJ Matt D",39709092,34,63,130
"Back To December (Taylor's Version)","Taylor Swift",39228929,64,50,142
"STAY (with Justin Bieber)","Justin Bieber, The Kid Laroi",2665343922,76,59,170
"El Merengue","Marshmello, Manuel Turizo",223633238,68,78,124
"Someone You Loved","Lewis Capaldi",2887241814,41,50,110
"Me Porto Bonito","Chencho Corleone, Bad Bunny",1440757818,71,91,92
"Makeba","Jain",165484133,66,82,116
"MONTAGEM - FR PUNK","Ayparia, unxbected",58054811,82,63,129
"Fast Car","Luke Combs",157058870,60,71,98
"What It Is (Solo Version)","Doechii",95131998,76,74,172
"Coco Chanel","Bad Bunny, Eladio Carrion",250305248,76,68,150
"Donï¿½ï¿½ï¿½t Bl","Taylor Swift",685032533,53,62,136
"Still With You","Jung Kook",38411956,47,53,88
"All My Life (feat. J. Cole)","J. Cole, Lil Durk",144565150,44,83,143
"Say Yes To Heaven","Lana Del Rey",127567540,35,49,100
"Snooze","SZA",399686758,55,56,143
"Summertime Sadness","Lana Del Rey",983637508,66,56,112
"Take Two","BTS",118482347,59,62,93
"Lover","Taylor Swift",882831184,55,43,206
"Too Many Nights (feat. Don Toliver & with Future)","Future, Metro Boomin, Don Toliver",286400165,71,68,88
"Chemical","Post Malone",172825906,90,50,170
"Mockingbird","Eminem",1241559043,67,62,84
"New Jeans","NewJeans",29562220,72,81,134
"Primera Cita","Carin Leon",77309611,40,54,158
"Cold Heart - PNAU Remix","Dua Lipa, Elton John, Pnau",1605224506,80,80,116
"Dandelions","Ruth B.",1116995633,69,61,117
"Bones","Imagine Dragons",838079900,72,77,114
"Set Fire to the Rain","Adele",1163620694,68,61,108
"Money Trees","Kendrick Lamar, Jay Rock",1093605526,53,74,144
"Tak Segampang Itu","Anggi Marito",179659294,44,51,130
"LAGUNAS","Jasiel Nuï¿½ï¿½ez, Peso P",39058561,62,77,116
"Mine (Taylor's Version)","Taylor Swift",36912123,78,65,121
"Everybody Wants To Rule The World","Tears For Fears",1205951614,81,64,112
"No Role Modelz","J. Cole",1791000570,52,70,100
"Tattoo","Loreen",201660859,78,55,150
"Rara Vez","Taiu, Milo j",248088961,71,84,120
"VAGABUNDO","Sebastian Yatra, Manuel Turizo, Beï¿½ï",90839753,85,82,127
"august","Taylor Swift",607123776,61,51,90
"LUNA","Junior H, Peso Pluma",55842345,63,75,128
"Miracle (with Ellie Goulding)","Calvin Harris, Ellie Goulding",211050784,87,64,143
"Nonsense","Sabrina Carpenter",342897938,68,74,139
"Que Vuelvas","Carin Leon, Grupo Frontera",2762,64,49,162
"Por las Noches","Peso Pluma",330346424,60,81,92
"Feliz Cumpleaï¿½ï¿½os Fe","Feid",601863821,55,87,95
"Can't Hold Us (feat. Ray Dalton)","Ray Dalton, Ryan Lewis, Macklemore",1953533826,93,63,146
"Watermelon Sugar","Harry Styles",2322580122,82,55,95
"lovely - Bonus Track","Billie Eilish, Khalid",2355719893,30,35,115
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",66902503,65,78,128
"Queencard","(G)I-DLE",96273746,83,82,130
"OMG","NewJeans",430977451,77,80,127
"Radio","Lana Del Rey",284819874,86,42,150
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",721975598,63,78,122
"505","Arctic Monkeys",1217120710,85,52,140
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",109276132,54,63,140
